施設名,カテゴリ,都道府県,市区町村,最寄駅,対象年齢,予算,屋内外,URL
かざこし子どもの森公園,公園,長野県,飯田市,,0-1/2-3/4-6,無料,屋内外,https://kyounoko.jp/spot/-xwbb
軽井沢おもちゃ王国,遊園地,長野県,嬬恋村※群馬側,,0-1/2-3/4-6,1000〜3000円,屋内外,https://kyounoko.jp/spot/-73dd
軽井沢絵本の森美術館（ムーゼの森）,博物館・科学館,長野県,軽井沢町,,2-3/4-6,1000〜3000円,屋内外,https://kyounoko.jp/spot/-732c
佐久平ハイウェイオアシス パラダ,公園,長野県,佐久市,,2-3/4-6,1000〜3000円,屋内外,https://kyounoko.jp/spot/-ugi7
城山動物園,動物園,長野県,長野市,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-k0dg
須坂市動物園,動物園,長野県,須坂市,,0-1/2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-kb3k
滝沢牧場,牧場,長野県,南牧村,,2-3/4-6,1000〜3000円,屋外,https://kyounoko.jp/spot/-ebiz
茶臼山動物園,動物園,長野県,長野市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-mnbk
長野市少年科学センター,博物館・科学館,長野県,長野市,,4-6,〜1000円,屋内,https://kyounoko.jp/spot/-uw4n
忍者の里 チビッ子忍者村,遊園地,長野県,長野市,,2-3/4-6,1000〜3000円,屋内外,https://kyounoko.jp/spot/-1w5v
八ヶ岳アルパカ牧場,牧場,長野県,富士見町,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-fzb4
飯田市立動物園,動物園,長野県,飯田市,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-9md1
アイエム電子 鳥取砂丘こどもの国,公園,鳥取県,鳥取市,,0-1/2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-2ref
かにっこ館,水族館,鳥取県,鳥取市,,0-1/2-3/4-6,無料,屋内,https://kyounoko.jp/spot/-1drw
とっとり花回廊,公園,鳥取県,南部町,,0-1/2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-mjfg
わらべ館,博物館・科学館,鳥取県,鳥取市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-8dan
倉吉パークスクエア,屋内施設,鳥取県,倉吉市,,0-1/2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-bcfd
大山まきばみるくの里,牧場,鳥取県,伯耆町,,2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-g002
鳥取県立 むきばんだ史跡公園,公園,鳥取県,米子市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-tk6n
鳥取砂丘,公園,鳥取県,鳥取市,,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-s4i5
鳥取砂丘こどもの国,公園,鳥取県,鳥取市,,2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-y29k
鳥取二十世紀梨記念館 なしっこ館,博物館・科学館,鳥取県,倉吉市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-nout
道の駅 大栄 すいかの里,公園,鳥取県,北栄町,,0-1/2-3/4-6,無料,屋内外,https://kyounoko.jp/spot/-qvar
日南町オシドリ観察小屋,公園,鳥取県,日南町,,4-6,無料,屋外,https://kyounoko.jp/spot/-yuft
米子水鳥公園,公園,鳥取県,米子市,,2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-njzm
アクアスランド,公園,島根県,浜田市,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-e18w
あそび王国ぴぃかぁぶぅ,屋内施設,島根県,出雲市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-4ze9
モニュメントミュージアム 来待ストーン,博物館・科学館,島根県,松江市,,4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-70y4
出雲科学館,博物館・科学館,島根県,出雲市,,2-3/4-6,無料,屋内,https://kyounoko.jp/spot/-gjh0
松江フォーゲルパーク,動物園,島根県,松江市,,0-1/2-3/4-6,1000〜3000円,屋内外,https://kyounoko.jp/spot/-s67a
島根県立しまね花の郷,公園,島根県,出雲市,,0-1/2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-7m75
島根県立しまね海洋館アクアス,水族館,島根県,浜田市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-7fod
島根県立古代出雲歴史博物館,博物館・科学館,島根県,出雲市,,4-6,〜1000円,屋内,https://kyounoko.jp/spot/-tjv1
島根県立三瓶自然館サヒメル,博物館・科学館,島根県,大田市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-8swk
島根県立宍道湖自然館 ゴビウス,水族館,島根県,出雲市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-tzed
浜山公園,公園,島根県,出雲市,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-bz8m
0123吉祥寺・0123はらっぱ,屋内施設,東京都,武蔵野市,,0-1/2-3,無料,屋内,https://kyounoko.jp/spot/0123-0123-t3q8
551蓬莱,子連れOKレストラン,東京都,大阪市ほか関西,,2-3/4-6,,屋内,https://kyounoko.jp/spot/551-mbps
A-FACTORY（青森駅前）カフェ＆レストラン,子連れOKレストラン,東京都,青森市,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/A-FACTORY-amv2
ANA機体工場見学（羽田）,博物館・科学館,東京都,大田区,shin-seibijo,4-6,無料,屋内,https://kyounoko.jp/spot/ANA-qpn5
ASOBono!（東京ドームシティ アソボーノ）,屋内施設,東京都,文京区,korakuen,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/ASOBono!-a463
COCO&#39;S（ココス）,子連れOKレストラン,東京都,複数,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/COCO-39-S-8lek
CoCoLo新潟 レストラン街,子連れOKレストラン,東京都,新潟市中央区,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/CoCoLo-npow
ekie広島 レストラン街,子連れOKレストラン,東京都,広島市南区,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/ekie-cw9v
FKD宇都宮 インターパーク レストラン街,子連れOKレストラン,東京都,宇都宮市,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/FKD-y7id
GINZA SIX,屋内施設,東京都,中央区,ginza,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/GINZA-SIX-jkf0
IKEA Tokyo-Bay（船橋）,屋内施設,東京都,船橋市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/IKEA-Tokyo-Bay-br0b
IKEA レストラン（新三郷・立川・原宿等）,子連れOKレストラン,東京都,複数,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/IKEA-8n1o
IKEA 港北 レストラン,子連れOKレストラン,東京都,横浜市都筑区,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/IKEA-9a3r
IKEA 神戸 レストラン,子連れOKレストラン,東京都,神戸市東灘区,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/IKEA-fce4
IKEA 長久手 レストラン,子連れOKレストラン,東京都,長久手市,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/IKEA-u3jp
IKEA 鶴浜 レストラン,子連れOKレストラン,東京都,大阪市大正区,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/IKEA-fmyq
IKEA 立川 レストラン,子連れOKレストラン,東京都,立川市,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/IKEA-gr7t
JAL工場見学 SKY MUSEUM（羽田）,博物館・科学館,東京都,大田区,shin-seibijo,4-6,無料,屋内,https://kyounoko.jp/spot/JAL-SKY-MUSEUM-ovgj
JRゲートタワー・JRセントラルタワーズ レストラン街,子連れOKレストラン,東京都,名古屋市中村区名駅,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/JR-JR-n68j
JRタワー T38 展望レストラン,子連れOKレストラン,東京都,札幌市中央区,,2-3/4-6,,屋内,https://kyounoko.jp/spot/JR-T38-gfws
JR博多シティ レストラン街（くうてん）,子連れOKレストラン,東京都,福岡市博多区,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/JR-zara
KITTE丸の内,屋内施設,東京都,千代田区,tokyo,0-1/2-3/4-6,無料,屋内,https://kyounoko.jp/spot/KITTE-mqag
MIDORI長野 レストラン街,子連れOKレストラン,東京都,長野市,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/MIDORI-6u2y
NHKスタジオパーク（渋谷）,博物館・科学館,東京都,渋谷区,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/NHK-f8vx
アクアシティお台場,屋内施設,東京都,港区,odaiba-kaihinkoen,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-ikia
アスティ岐阜 レストラン,子連れOKレストラン,東京都,岐阜市,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-czud
アトレ吉祥寺 レストランフロア,子連れOKレストラン,東京都,武蔵野市,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-oth4
アトレ大森 レストラン,子連れOKレストラン,東京都,大田区,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-szch
アネビートリムパーク（ららぽーと各所等）,屋内施設,東京都,複数,,0-1/2-3,1000〜3000円,屋内,https://kyounoko.jp/spot/-4lrp
あべのキューズモール レストラン街,子連れOKレストラン,東京都,大阪市阿倍野区天王寺,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-l5dp
あべのハルカス ダイニングフロア,子連れOKレストラン,東京都,大阪市阿倍野区天王寺,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-31r4
アミュプラザおおいた レストラン街,子連れOKレストラン,東京都,大分市,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-bvkk
アミュプラザくまもと レストラン街,子連れOKレストラン,東京都,熊本市西区,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-mo9i
アミュプラザ鹿児島 レストラン街,子連れOKレストラン,東京都,鹿児島市,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-dp3a
アミュプラザ長崎 レストラン街,子連れOKレストラン,東京都,長崎市,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-pw60
アルヴェ・トピコ秋田 レストラン,子連れOKレストラン,東京都,秋田市,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-xofd
イーアスつくば レストラン街,子連れOKレストラン,東京都,つくば市,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-dxsp
イオンモールむさし村山,屋内施設,東京都,武蔵村山市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-hrs1
イオンモール岡山 レストラン街,子連れOKレストラン,東京都,岡山市北区,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-ovj5
イオンモール沖縄ライカム レストラン街,子連れOKレストラン,東京都,中頭郡北中城村,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-npaw
イオンモール宮崎 レストラン街,子連れOKレストラン,東京都,宮崎市,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-w24e
イオンモール京都桂川 レストラン街,子連れOKレストラン,東京都,京都市南区,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-th24
イオンモール高崎 レストラン街,子連れOKレストラン,東京都,高崎市,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-323y
イオンモール高知 レストラン街,子連れOKレストラン,東京都,高知市,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-hnxg
イオンモール津南 レストラン街,子連れOKレストラン,東京都,津市,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-rgib
イオンモール和歌山 レストラン街,子連れOKレストラン,東京都,和歌山市,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-01iq
イクスピアリ レストラン街,子連れOKレストラン,東京都,浦安市,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-l0wf
オアシス21 レストラン街,子連れOKレストラン,東京都,名古屋市東区栄,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/21-b9ak
お好み焼き 鶴橋風月,子連れOKレストラン,東京都,大阪市鶴橋ほか関西,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-xxft
お台場 シンボルプロムナード公園,公園,東京都,港区,odaiba-kaihinkoen,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-m11d
お台場ヴィーナスフォート跡地～アクアシティお台場 レストラン,子連れOKレストラン,東京都,港区,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-xcn2
お台場海浜公園,公園,東京都,港区,odaiba-kaihinkoen,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-25jw
がすてなーに ガスの科学館,博物館・科学館,東京都,江東区,toyosu,2-3/4-6,無料,屋内,https://kyounoko.jp/spot/-fzk8
ガスト,子連れOKレストラン,東京都,複数,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-1m74
かっぱ寿司,子連れOKレストラン,東京都,複数,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-tb61
カプリチョーザ,子連れOKレストラン,東京都,複数,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-975v
カワスイ 川崎水族館,水族館,東京都,川崎市,kawasaki,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-2wza
キッザニア東京,屋内施設,東京都,江東区,toyosu,4-6,3000円〜,屋内,https://kyounoko.jp/spot/-0i2w
キドキドよみうりランド店,屋内施設,東京都,稲城市,,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-diob
キャナルシティ博多 レストラン街,子連れOKレストラン,東京都,福岡市博多区,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-iphh
グランスタ東京 駅構内ダイニング,子連れOKレストラン,東京都,千代田区,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-2agq
グランパーク田町・キッズスペース,屋内施設,東京都,港区,,0-1/2-3,無料,屋内,https://kyounoko.jp/spot/-zisq
グランフロント大阪 レストラン街,子連れOKレストラン,東京都,大阪市北区梅田,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-avjl
グランベリーパーク レストラン街,子連れOKレストラン,東京都,町田市,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-ejlx
グランベリーパーク（南町田）,屋内施設,東京都,町田市,,0-1/2-3/4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-mjpp
くら寿司,子連れOKレストラン,東京都,複数,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-m40s
ぐりんぱから一足のばして・羽村市動物公園,動物園,東京都,羽村市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-ttap
クレメントプラザ徳島 レストラン,子連れOKレストラン,東京都,徳島市,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-22xg
ケンタッキーフライドチキン,子連れOKレストラン,東京都,複数,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-dx7m
コストコ 多摩境倉庫 フードコート,子連れOKレストラン,東京都,町田市,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-ukkw
こどもの国（横浜・冬のスケート）,季節体験,東京都,横浜市,,4-6,〜1000円,屋内外,https://kyounoko.jp/spot/-2tzt
コメダ珈琲店,子連れOKレストラン,東京都,複数,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-ovak
サイゼリヤ,子連れOKレストラン,東京都,複数,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-i7d8
サッポロファクトリー レストラン,子連れOKレストラン,東京都,札幌市中央区,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-3in2
サンシャイン水族館,水族館,東京都,豊島区,ikebukuro,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-cyxc
サンリオピューロランド,遊園地,東京都,多摩市,,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-96gw
シーモール下関 レストラン,子連れOKレストラン,東京都,下関市,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-su4f
しながわ水族館,水族館,東京都,品川区,omori-kaigan,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-46qr
しゃぶ葉,子連れOKレストラン,東京都,複数,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-2guo
ジョナサン,子連れOKレストラン,東京都,複数,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-zdzy
スガキヤ（中京圏チェーン）,子連れOKレストラン,東京都,名古屋市ほか中京圏,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-7xpm
すき家,子連れOKレストラン,東京都,複数,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-vet5
スシロー,子連れOKレストラン,東京都,複数,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-3lc2
ステーキガスト,子連れOKレストラン,東京都,複数,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-8f7m
すみだ水族館,水族館,東京都,墨田区,oshiage,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-w6hr
すみれ（札幌ラーメン）,子連れOKレストラン,東京都,札幌市,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-z6uh
スモールワールズTOKYO,屋内施設,東京都,江東区,,2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/TOKYO-xq8o
ダイバーシティ東京プラザ,屋内施設,東京都,江東区,daiba,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-cy8p
タリーズコーヒー（Tully's）キッズメニュー対応店,子連れOKレストラン,東京都,複数,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-m0jj
チームラボプラネッツTOKYO DMM,博物館・科学館,東京都,江東区,,2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/TOKYO-DMM-x9xg
チームラボボーダレス（麻布台ヒルズ）,博物館・科学館,東京都,港区,,2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-4a6c
デニーズ,子連れOKレストラン,東京都,複数,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-am6l
トリックアートミュージアム高尾山,博物館・科学館,東京都,八王子市,,2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-152r
なか卯,子連れOKレストラン,東京都,複数,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-yd4d
なんばCITY レストラン街,子連れOKレストラン,東京都,大阪市中央区難波,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/CITY-iqht
なんばパークス レストラン街,子連れOKレストラン,東京都,大阪市浪速区難波,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-95lh
バーミヤン,子連れOKレストラン,東京都,複数,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-jknt
パナソニックセンター東京 AkeruE,博物館・科学館,東京都,江東区,ariake,4-6,〜1000円,屋内,https://kyounoko.jp/spot/AkeruE-6dkq
はま寿司,子連れOKレストラン,東京都,複数,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-z109
パルシェ静岡 レストラン,子連れOKレストラン,東京都,静岡市葵区,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-474g
ビッグボーイ,子連れOKレストラン,東京都,複数,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-wgol
びっくりドンキー,子連れOKレストラン,東京都,複数,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-kmph
ビバパエリア／スペインバル（中野・吉祥寺）,子連れOKレストラン,東京都,中野区,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-5645
ひょうたん寿司,子連れOKレストラン,東京都,福岡市天神,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-gt8x
ファンタジーキッズリゾート お台場,屋内施設,東京都,江東区,,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-n26s
フォルクス,子連れOKレストラン,東京都,複数,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-sj4q
フォレオ大津一里山 レストラン街,子連れOKレストラン,東京都,大津市,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-n36t
フレッシュネスバーガー,子連れOKレストラン,東京都,複数,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-0yef
ベビーパーク KIDS PARK（複数）,屋内施設,東京都,複数,,0-1/2-3,1000〜3000円,屋内,https://kyounoko.jp/spot/KIDS-PARK-dsq8
マークイズみなとみらい・吉祥寺パルコ系列 レストラン街,子連れOKレストラン,東京都,武蔵野市,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-dec1
マクセル アクアパーク品川,水族館,東京都,港区,shinagawa,0-1/2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-5gmr
マクドナルド,子連れOKレストラン,東京都,複数,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-pa4f
マリノアシティ福岡 レストラン街,子連れOKレストラン,東京都,福岡市西区,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-6e4v
マルイファミリー溝口,屋内施設,東京都,川崎市,mizonokuchi,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-rlvl
ミスタードーナツ,子連れOKレストラン,東京都,複数,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-k6id
ミッドランドスクエア レストラン街,子連れOKレストラン,東京都,名古屋市中村区名駅,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-yfre
モーリーファンタジー（複数イオン内）,屋内施設,東京都,複数,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-9wh3
モスバーガー,子連れOKレストラン,東京都,複数,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-cbwc
ゆめタウン佐賀 レストラン街,子連れOKレストラン,東京都,佐賀市,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-e30j
ヨドバシ梅田＆ヨドバシ京都 レストラン街,子連れOKレストラン,東京都,京都市下京区,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-3tbc
よみうりランド,遊園地,東京都,稲城市,,2-3/4-6,3000円〜,屋外,https://kyounoko.jp/spot/-3pd4
ラゾーナ川崎プラザ レストラン街,子連れOKレストラン,東京都,川崎市幸区,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-msdt
ららテラス武蔵小杉,屋内施設,東京都,川崎市,musashi-kosugi,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-dcg2
ららぽーとEXPOCITY レストラン街,子連れOKレストラン,東京都,吹田市千里万博公園,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/EXPOCITY-gwj1
ららぽーと横浜 レストラン街,子連れOKレストラン,東京都,横浜市都筑区,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-cwhx
ららぽーと甲子園 レストラン街,子連れOKレストラン,東京都,西宮市,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-zm7c
ららぽーと富士見 レストラン街,子連れOKレストラン,東京都,富士見市,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-qeuf
ららぽーと福岡 レストラン街,子連れOKレストラン,東京都,福岡市博多区,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-mcc9
ららぽーと豊洲 レストラン街,子連れOKレストラン,東京都,江東区,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-dov1
ららぽーと名古屋みなとアクルス レストラン街,子連れOKレストラン,東京都,名古屋市港区,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-bgpm
ららぽーと立川立飛,屋内施設,東京都,立川市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-l907
リトルプラネット（複数）,屋内施設,東京都,複数,,2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-ij98
リンガーハット,子連れOKレストラン,東京都,複数,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-khxc
ルクア大阪 バルチカ,子連れOKレストラン,東京都,大阪市北区梅田,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-3fsb
ルミネ新宿 レストラン街,子連れOKレストラン,東京都,新宿区,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-dnpt
ルミネ町田,屋内施設,東京都,町田市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-uxp3
レゴランド・ディスカバリー・センター東京,屋内施設,東京都,港区,,2-3/4-6,1000〜3000円,屋内,https://kyounoko.jp/spot/-pauu
レストランフロイデ（としまえん跡周辺ほか）,子連れOKレストラン,東京都,練馬区,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-s0j4
ロイズチョコレートワールド,子連れOKレストラン,東京都,千歳市（新千歳空港）,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-cxib
ロイヤルホスト,子連れOKレストラン,東京都,複数,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-nprj
井の頭恩賜公園,公園,東京都,武蔵野市,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-xb3c
井の頭自然文化園,動物園,東京都,武蔵野市,,2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-jlzu
井の頭自然文化園 ジャブジャブ池,公園,東京都,武蔵野市,,0-1/2-3/4-6,〜1000円,屋外,https://kyounoko.jp/spot/-kdza
一蘭,子連れOKレストラン,東京都,複数,,4-6,,屋内,https://kyounoko.jp/spot/-pfvi
烏山川緑道 じゃぶじゃぶ池,公園,東京都,世田谷区,,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-6l5e
横浜ランドマークタワー ドックヤードガーデン レストラン,子連れOKレストラン,東京都,横浜市西区みなとみらい,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-npfb
横浜赤レンガ倉庫 レストランフロア,子連れOKレストラン,東京都,横浜市中区,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-nqn9
科学技術館（北の丸公園）,博物館・科学館,東京都,千代田区,kudanshita,4-6,〜1000円,屋内,https://kyounoko.jp/spot/-ufp8
華屋与兵衛,子連れOKレストラン,東京都,複数,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-ox8j
葛西海浜公園 西なぎさ,公園,東京都,江戸川区,kasai-rinkai-koen,2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-9unv
葛西臨海公園,公園,東京都,江戸川区,kasai-rinkai-koen,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-9fgj
葛西臨海水族園,水族館,東京都,江戸川区,kasai-rinkai-koen,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-ysyk
蒲田グランデュオ レストランフロア,子連れOKレストラン,東京都,大田区,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-ps24
鎌倉小町通り ファミリー向けカフェ,子連れOKレストラン,東京都,鎌倉市,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-tvl9
丸ビル 5・6Fレストラン街,子連れOKレストラン,東京都,千代田区,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/5-6F-fbjc
丸亀製麺,子連れOKレストラン,東京都,複数,,0-1/2-3/4-6,,屋内,https://kyounoko.jp/spot/-lxt6
祇園辻利／都路里,子連れOKレストラン,東京都,京都市祇園,,4-6,,屋内,https://kyounoko.jp/spot/-el5y
吉祥寺アトレ・キラリナ京王吉祥寺,屋内施設,東京都,武蔵野市,,0-1/2-3/4-6,〜1000円,屋内,https://kyounoko.jp/spot/-53zt
吉野家,子連れOKレストラン,東京都,複数,,2-3/4-6,,屋内,https://kyounoko.jp/spot/-nhmy
砧公園,公園,東京都,世田谷区,seijogakuen-mae,0-1/2-3/4-6,無料,屋外,https://kyounoko.jp/spot/-wuua
